Date,open,high,low,close
2022-05-11 17:00:00,1.05373,1.05455,1.0531,1.0542
2022-05-11 16:00:00,1.05482,1.05549,1.0531,1.05371
2022-05-11 15:00:00,1.05604,1.05701,1.0543,1.05482
2022-05-11 14:00:00,1.05205,1.05771,1.0516,1.05606
2022-05-11 13:00:00,1.05449,1.05564,1.05,1.05207
2022-05-11 12:00:00,1.05463,1.0557,1.0541,1.05447
2022-05-11 11:00:00,1.05633,1.05674,1.0544,1.05462
2022-05-11 10:00:00,1.05678,1.05756,1.0555,1.05633
2022-05-11 09:00:00,1.0552,1.05748,1.0548,1.05679
2022-05-11 08:00:00,1.05414,1.05608,1.0541,1.0552
2022-05-11 07:00:00,1.05456,1.0549,1.0535,1.054
2022-05-11 06:00:00,1.05412,1.05502,1.0537,1.05457
2022-05-11 05:00:00,1.05366,1.05433,1.0532,1.0541
2022-05-11 04:00:00,1.05346,1.05391,1.0531,1.05365
2022-05-11 03:00:00,1.05336,1.05378,1.0527,1.05345
2022-05-11 02:00:00,1.053,1.05347,1.0524,1.05332
2022-05-11 01:00:00,1.05289,1.05367,1.0525,1.0529
2022-05-11 00:00:00,1.05329,1.05345,1.0527,1.0528
2022-05-10 23:00:00,1.0529,1.05351,1.05272,1.05329
2022-05-10 22:00:00,1.05262,1.0532,1.05248,1.05292
2022-05-10 21:00:00,1.05353,1.05358,1.05249,1.05285
2022-05-10 20:00:00,1.05306,1.05388,1.0527,1.05353
2022-05-10 19:00:00,1.05375,1.05399,1.0526,1.05306
2022-05-10 18:00:00,1.05338,1.05414,1.0525,1.05374
2022-05-10 17:00:00,1.05308,1.05468,1.0525,1.05338
2022-05-10 16:00:00,1.05411,1.05467,1.0524,1.05307
2022-05-10 15:00:00,1.05437,1.05535,1.0526,1.05411
2022-05-10 14:00:00,1.055,1.05751,1.0539,1.05437
2022-05-10 13:00:00,1.0553,1.05613,1.0547,1.05516
2022-05-10 12:00:00,1.05531,1.05666,1.0545,1.05531
2022-05-10 11:00:00,1.05393,1.05536,1.0534,1.05532
2022-05-10 10:00:00,1.0571,1.05758,1.0535,1.05389
2022-05-10 09:00:00,1.0557,1.05757,1.0552,1.05722
