,Meta Data,Time Series FX (60min)
1. Information,FX Intraday (60min) Time Series,
2. From Symbol,EUR,
3. To Symbol,USD,
4. Last Refreshed,2022-05-11 17:00:00,
5. Interval,60min,
6. Output Size,Compact,
7. Time Zone,UTC,
2022-05-11 17:00:00,,"{'1. open': '1.05373', '2. high': '1.05455', '3. low': '1.05310', '4. close': '1.05420'}"
2022-05-11 16:00:00,,"{'1. open': '1.05482', '2. high': '1.05549', '3. low': '1.05310', '4. close': '1.05371'}"
2022-05-11 15:00:00,,"{'1. open': '1.05604', '2. high': '1.05701', '3. low': '1.05430', '4. close': '1.05482'}"
2022-05-11 14:00:00,,"{'1. open': '1.05205', '2. high': '1.05771', '3. low': '1.05160', '4. close': '1.05606'}"
2022-05-11 13:00:00,,"{'1. open': '1.05449', '2. high': '1.05564', '3. low': '1.05000', '4. close': '1.05207'}"
2022-05-11 12:00:00,,"{'1. open': '1.05463', '2. high': '1.05570', '3. low': '1.05410', '4. close': '1.05447'}"
2022-05-11 11:00:00,,"{'1. open': '1.05633', '2. high': '1.05674', '3. low': '1.05440', '4. close': '1.05462'}"
2022-05-11 10:00:00,,"{'1. open': '1.05678', '2. high': '1.05756', '3. low': '1.05550', '4. close': '1.05633'}"
2022-05-11 09:00:00,,"{'1. open': '1.05520', '2. high': '1.05748', '3. low': '1.05480', '4. close': '1.05679'}"
2022-05-11 08:00:00,,"{'1. open': '1.05414', '2. high': '1.05608', '3. low': '1.05410', '4. close': '1.05520'}"
2022-05-11 07:00:00,,"{'1. open': '1.05456', '2. high': '1.05490', '3. low': '1.05350', '4. close': '1.05400'}"
2022-05-11 06:00:00,,"{'1. open': '1.05412', '2. high': '1.05502', '3. low': '1.05370', '4. close': '1.05457'}"
2022-05-11 05:00:00,,"{'1. open': '1.05366', '2. high': '1.05433', '3. low': '1.05320', '4. close': '1.05410'}"
2022-05-11 04:00:00,,"{'1. open': '1.05346', '2. high': '1.05391', '3. low': '1.05310', '4. close': '1.05365'}"
2022-05-11 03:00:00,,"{'1. open': '1.05336', '2. high': '1.05378', '3. low': '1.05270', '4. close': '1.05345'}"
2022-05-11 02:00:00,,"{'1. open': '1.05300', '2. high': '1.05347', '3. low': '1.05240', '4. close': '1.05332'}"
2022-05-11 01:00:00,,"{'1. open': '1.05289', '2. high': '1.05367', '3. low': '1.05250', '4. close': '1.05290'}"
2022-05-11 00:00:00,,"{'1. open': '1.05329', '2. high': '1.05345', '3. low': '1.05270', '4. close': '1.05280'}"
2022-05-10 23:00:00,,"{'1. open': '1.05290', '2. high': '1.05351', '3. low': '1.05272', '4. close': '1.05329'}"
2022-05-10 22:00:00,,"{'1. open': '1.05262', '2. high': '1.05320', '3. low': '1.05248', '4. close': '1.05292'}"
2022-05-10 21:00:00,,"{'1. open': '1.05353', '2. high': '1.05358', '3. low': '1.05249', '4. close': '1.05285'}"
2022-05-10 20:00:00,,"{'1. open': '1.05306', '2. high': '1.05388', '3. low': '1.05270', '4. close': '1.05353'}"
2022-05-10 19:00:00,,"{'1. open': '1.05375', '2. high': '1.05399', '3. low': '1.05260', '4. close': '1.05306'}"
2022-05-10 18:00:00,,"{'1. open': '1.05338', '2. high': '1.05414', '3. low': '1.05250', '4. close': '1.05374'}"
2022-05-10 17:00:00,,"{'1. open': '1.05308', '2. high': '1.05468', '3. low': '1.05250', '4. close': '1.05338'}"
2022-05-10 16:00:00,,"{'1. open': '1.05411', '2. high': '1.05467', '3. low': '1.05240', '4. close': '1.05307'}"
2022-05-10 15:00:00,,"{'1. open': '1.05437', '2. high': '1.05535', '3. low': '1.05260', '4. close': '1.05411'}"
2022-05-10 14:00:00,,"{'1. open': '1.05500', '2. high': '1.05751', '3. low': '1.05390', '4. close': '1.05437'}"
2022-05-10 13:00:00,,"{'1. open': '1.05530', '2. high': '1.05613', '3. low': '1.05470', '4. close': '1.05516'}"
2022-05-10 12:00:00,,"{'1. open': '1.05531', '2. high': '1.05666', '3. low': '1.05450', '4. close': '1.05531'}"
2022-05-10 11:00:00,,"{'1. open': '1.05393', '2. high': '1.05536', '3. low': '1.05340', '4. close': '1.05532'}"
2022-05-10 10:00:00,,"{'1. open': '1.05710', '2. high': '1.05758', '3. low': '1.05350', '4. close': '1.05389'}"
2022-05-10 09:00:00,,"{'1. open': '1.05570', '2. high': '1.05757', '3. low': '1.05520', '4. close': '1.05722'}"
2022-05-10 08:00:00,,"{'1. open': '1.05603', '2. high': '1.05783', '3. low': '1.05490', '4. close': '1.05570'}"
2022-05-10 07:00:00,,"{'1. open': '1.05764', '2. high': '1.05791', '3. low': '1.05570', '4. close': '1.05604'}"
2022-05-10 06:00:00,,"{'1. open': '1.05758', '2. high': '1.05854', '3. low': '1.05720', '4. close': '1.05750'}"
2022-05-10 05:00:00,,"{'1. open': '1.05785', '2. high': '1.05810', '3. low': '1.05720', '4. close': '1.05756'}"
2022-05-10 04:00:00,,"{'1. open': '1.05724', '2. high': '1.05796', '3. low': '1.05670', '4. close': '1.05785'}"
2022-05-10 03:00:00,,"{'1. open': '1.05610', '2. high': '1.05796', '3. low': '1.05580', '4. close': '1.05726'}"
2022-05-10 02:00:00,,"{'1. open': '1.05570', '2. high': '1.05691', '3. low': '1.05540', '4. close': '1.05622'}"
2022-05-10 01:00:00,,"{'1. open': '1.05633', '2. high': '1.05652', '3. low': '1.05510', '4. close': '1.05586'}"
2022-05-10 00:00:00,,"{'1. open': '1.05569', '2. high': '1.05691', '3. low': '1.05550', '4. close': '1.05630'}"
2022-05-09 23:00:00,,"{'1. open': '1.05568', '2. high': '1.05583', '3. low': '1.05510', '4. close': '1.05567'}"
2022-05-09 22:00:00,,"{'1. open': '1.05590', '2. high': '1.05633', '3. low': '1.05520', '4. close': '1.05564'}"
2022-05-09 21:00:00,,"{'1. open': '1.05582', '2. high': '1.05622', '3. low': '1.05550', '4. close': '1.05588'}"
2022-05-09 20:00:00,,"{'1. open': '1.05660', '2. high': '1.05756', '3. low': '1.05540', '4. close': '1.05581'}"
2022-05-09 19:00:00,,"{'1. open': '1.05583', '2. high': '1.05668', '3. low': '1.05490', '4. close': '1.05659'}"
2022-05-09 18:00:00,,"{'1. open': '1.05733', '2. high': '1.05752', '3. low': '1.05510', '4. close': '1.05581'}"
2022-05-09 17:00:00,,"{'1. open': '1.05568', '2. high': '1.05924', '3. low': '1.05530', '4. close': '1.05720'}"
2022-05-09 16:00:00,,"{'1. open': '1.05276', '2. high': '1.05630', '3. low': '1.05250', '4. close': '1.05567'}"
2022-05-09 15:00:00,,"{'1. open': '1.05322', '2. high': '1.05344', '3. low': '1.05150', '4. close': '1.05274'}"
2022-05-09 14:00:00,,"{'1. open': '1.05622', '2. high': '1.05635', '3. low': '1.05290', '4. close': '1.05313'}"
2022-05-09 13:00:00,,"{'1. open': '1.05467', '2. high': '1.05734', '3. low': '1.05430', '4. close': '1.05623'}"
2022-05-09 12:00:00,,"{'1. open': '1.05450', '2. high': '1.05524', '3. low': '1.05310', '4. close': '1.05467'}"
2022-05-09 11:00:00,,"{'1. open': '1.05280', '2. high': '1.05499', '3. low': '1.05240', '4. close': '1.05451'}"
2022-05-09 10:00:00,,"{'1. open': '1.05072', '2. high': '1.05303', '3. low': '1.05030', '4. close': '1.05277'}"
2022-05-09 09:00:00,,"{'1. open': '1.05117', '2. high': '1.05202', '3. low': '1.05000', '4. close': '1.05073'}"
2022-05-09 08:00:00,,"{'1. open': '1.05024', '2. high': '1.05295', '3. low': '1.04960', '4. close': '1.05118'}"
2022-05-09 07:00:00,,"{'1. open': '1.05073', '2. high': '1.05142', '3. low': '1.04940', '4. close': '1.05026'}"
2022-05-09 06:00:00,,"{'1. open': '1.05123', '2. high': '1.05123', '3. low': '1.05010', '4. close': '1.05074'}"
2022-05-09 05:00:00,,"{'1. open': '1.05100', '2. high': '1.05165', '3. low': '1.05040', '4. close': '1.05110'}"
2022-05-09 04:00:00,,"{'1. open': '1.05070', '2. high': '1.05128', '3. low': '1.05010', '4. close': '1.05099'}"
2022-05-09 03:00:00,,"{'1. open': '1.05230', '2. high': '1.05240', '3. low': '1.05050', '4. close': '1.05066'}"
2022-05-09 02:00:00,,"{'1. open': '1.05192', '2. high': '1.05266', '3. low': '1.05120', '4. close': '1.05240'}"
2022-05-09 01:00:00,,"{'1. open': '1.05321', '2. high': '1.05354', '3. low': '1.05170', '4. close': '1.05192'}"
2022-05-09 00:00:00,,"{'1. open': '1.05379', '2. high': '1.05389', '3. low': '1.05290', '4. close': '1.05321'}"
2022-05-08 23:00:00,,"{'1. open': '1.05404', '2. high': '1.05437', '3. low': '1.05348', '4. close': '1.05370'}"
2022-05-06 21:00:00,,"{'1. open': '1.05474', '2. high': '1.05481', '3. low': '1.05390', '4. close': '1.05452'}"
2022-05-06 20:00:00,,"{'1. open': '1.05471', '2. high': '1.05564', '3. low': '1.05350', '4. close': '1.05476'}"
2022-05-06 19:00:00,,"{'1. open': '1.05501', '2. high': '1.05583', '3. low': '1.05420', '4. close': '1.05460'}"
2022-05-06 18:00:00,,"{'1. open': '1.05689', '2. high': '1.05747', '3. low': '1.05480', '4. close': '1.05502'}"
2022-05-06 17:00:00,,"{'1. open': '1.05709', '2. high': '1.05803', '3. low': '1.05650', '4. close': '1.05688'}"
2022-05-06 16:00:00,,"{'1. open': '1.05813', '2. high': '1.05951', '3. low': '1.05690', '4. close': '1.05707'}"
2022-05-06 15:00:00,,"{'1. open': '1.05735', '2. high': '1.05876', '3. low': '1.05550', '4. close': '1.05817'}"
2022-05-06 14:00:00,,"{'1. open': '1.05535', '2. high': '1.05961', '3. low': '1.05520', '4. close': '1.05734'}"
2022-05-06 13:00:00,,"{'1. open': '1.05657', '2. high': '1.05968', '3. low': '1.05460', '4. close': '1.05536'}"
2022-05-06 12:00:00,,"{'1. open': '1.05887', '2. high': '1.05912', '3. low': '1.05580', '4. close': '1.05655'}"
2022-05-06 11:00:00,,"{'1. open': '1.05708', '2. high': '1.05988', '3. low': '1.05670', '4. close': '1.05870'}"
2022-05-06 10:00:00,,"{'1. open': '1.05572', '2. high': '1.05756', '3. low': '1.05490', '4. close': '1.05707'}"
2022-05-06 09:00:00,,"{'1. open': '1.05210', '2. high': '1.05811', '3. low': '1.05110', '4. close': '1.05572'}"
2022-05-06 08:00:00,,"{'1. open': '1.04859', '2. high': '1.05439', '3. low': '1.04810', '4. close': '1.05210'}"
2022-05-06 07:00:00,,"{'1. open': '1.05224', '2. high': '1.05254', '3. low': '1.04820', '4. close': '1.04858'}"
2022-05-06 06:00:00,,"{'1. open': '1.05323', '2. high': '1.05340', '3. low': '1.05200', '4. close': '1.05225'}"
2022-05-06 05:00:00,,"{'1. open': '1.05327', '2. high': '1.05350', '3. low': '1.05240', '4. close': '1.05323'}"
2022-05-06 04:00:00,,"{'1. open': '1.05286', '2. high': '1.05394', '3. low': '1.05250', '4. close': '1.05330'}"
2022-05-06 03:00:00,,"{'1. open': '1.05256', '2. high': '1.05339', '3. low': '1.05180', '4. close': '1.05282'}"
2022-05-06 02:00:00,,"{'1. open': '1.05412', '2. high': '1.05456', '3. low': '1.05140', '4. close': '1.05254'}"
2022-05-06 01:00:00,,"{'1. open': '1.05394', '2. high': '1.05507', '3. low': '1.05320', '4. close': '1.05409'}"
2022-05-06 00:00:00,,"{'1. open': '1.05503', '2. high': '1.05503', '3. low': '1.05340', '4. close': '1.05393'}"
2022-05-05 23:00:00,,"{'1. open': '1.05397', '2. high': '1.05504', '3. low': '1.05370', '4. close': '1.05490'}"
2022-05-05 22:00:00,,"{'1. open': '1.05402', '2. high': '1.05440', '3. low': '1.05370', '4. close': '1.05399'}"
2022-05-05 21:00:00,,"{'1. open': '1.05504', '2. high': '1.05505', '3. low': '1.05360', '4. close': '1.05407'}"
2022-05-05 20:00:00,,"{'1. open': '1.05161', '2. high': '1.05510', '3. low': '1.05140', '4. close': '1.05490'}"
2022-05-05 19:00:00,,"{'1. open': '1.05038', '2. high': '1.05208', '3. low': '1.05000', '4. close': '1.05160'}"
2022-05-05 18:00:00,,"{'1. open': '1.05109', '2. high': '1.05283', '3. low': '1.05020', '4. close': '1.05030'}"
2022-05-05 17:00:00,,"{'1. open': '1.05065', '2. high': '1.05152', '3. low': '1.04910', '4. close': '1.05101'}"
2022-05-05 16:00:00,,"{'1. open': '1.05329', '2. high': '1.05329', '3. low': '1.05020', '4. close': '1.05065'}"
2022-05-05 15:00:00,,"{'1. open': '1.05560', '2. high': '1.05567', '3. low': '1.05280', '4. close': '1.05329'}"
2022-05-05 14:00:00,,"{'1. open': '1.05533', '2. high': '1.05658', '3. low': '1.05400', '4. close': '1.05563'}"
2022-05-05 13:00:00,,"{'1. open': '1.05476', '2. high': '1.05736', '3. low': '1.05460', '4. close': '1.05520'}"
