,Meta Data,Time Series FX (Daily)
1. Information,"Forex Daily Prices (open, high, low, close)",
2. From Symbol,EUR,
3. To Symbol,USD,
4. Output Size,Compact,
5. Last Refreshed,2022-05-11 16:30:00,
6. Time Zone,UTC,
2022-05-11,,"{'1. open': '1.05295', '2. high': '1.05771', '3. low': '1.05000', '4. close': '1.05365'}"
2022-05-10,,"{'1. open': '1.05568', '2. high': '1.05854', '3. low': '1.05240', '4. close': '1.05292'}"
2022-05-09,,"{'1. open': '1.05404', '2. high': '1.05924', '3. low': '1.04940', '4. close': '1.05564'}"
2022-05-06,,"{'1. open': '1.05397', '2. high': '1.05988', '3. low': '1.04810', '4. close': '1.05510'}"
2022-05-05,,"{'1. open': '1.06247', '2. high': '1.06418', '3. low': '1.04910', '4. close': '1.05399'}"
2022-05-04,,"{'1. open': '1.05208', '2. high': '1.06310', '3. low': '1.05040', '4. close': '1.06237'}"
2022-05-03,,"{'1. open': '1.05048', '2. high': '1.05778', '3. low': '1.04910', '4. close': '1.05214'}"
2022-05-02,,"{'1. open': '1.05464', '2. high': '1.05684', '3. low': '1.04890', '4. close': '1.05037'}"
2022-04-29,,"{'1. open': '1.04978', '2. high': '1.05930', '3. low': '1.04890', '4. close': '1.05410'}"
2022-04-28,,"{'1. open': '1.05540', '2. high': '1.05649', '3. low': '1.04690', '4. close': '1.04983'}"
2022-04-27,,"{'1. open': '1.06379', '2. high': '1.06549', '3. low': '1.05130', '4. close': '1.05541'}"
2022-04-26,,"{'1. open': '1.07118', '2. high': '1.07387', '3. low': '1.06340', '4. close': '1.06374'}"
2022-04-25,,"{'1. open': '1.08058', '2. high': '1.08153', '3. low': '1.06950', '4. close': '1.07121'}"
2022-04-22,,"{'1. open': '1.08346', '2. high': '1.08516', '3. low': '1.07690', '4. close': '1.07940'}"
2022-04-21,,"{'1. open': '1.08500', '2. high': '1.09364', '3. low': '1.08220', '4. close': '1.08346'}"
2022-04-20,,"{'1. open': '1.07890', '2. high': '1.08671', '3. low': '1.07820', '4. close': '1.08506'}"
2022-04-19,,"{'1. open': '1.07755', '2. high': '1.08145', '3. low': '1.07600', '4. close': '1.07880'}"
2022-04-18,,"{'1. open': '1.08069', '2. high': '1.08216', '3. low': '1.07680', '4. close': '1.07780'}"
2022-04-15,,"{'1. open': '1.08256', '2. high': '1.08290', '3. low': '1.07950', '4. close': '1.08050'}"
2022-04-14,,"{'1. open': '1.08888', '2. high': '1.09233', '3. low': '1.07560', '4. close': '1.08270'}"
2022-04-13,,"{'1. open': '1.08273', '2. high': '1.08942', '3. low': '1.08070', '4. close': '1.08889'}"
2022-04-12,,"{'1. open': '1.08828', '2. high': '1.09038', '3. low': '1.08190', '4. close': '1.08270'}"
2022-04-11,,"{'1. open': '1.09083', '2. high': '1.09333', '3. low': '1.08710', '4. close': '1.08823'}"
2022-04-08,,"{'1. open': '1.08787', '2. high': '1.08918', '3. low': '1.08350', '4. close': '1.08750'}"
2022-04-07,,"{'1. open': '1.08971', '2. high': '1.09385', '3. low': '1.08630', '4. close': '1.08780'}"
2022-04-06,,"{'1. open': '1.09060', '2. high': '1.09381', '3. low': '1.08730', '4. close': '1.08961'}"
2022-04-05,,"{'1. open': '1.09725', '2. high': '1.09887', '3. low': '1.08980', '4. close': '1.09060'}"
2022-04-04,,"{'1. open': '1.10380', '2. high': '1.10544', '3. low': '1.09590', '4. close': '1.09723'}"
2022-04-01,,"{'1. open': '1.10658', '2. high': '1.10761', '3. low': '1.10260', '4. close': '1.10470'}"
2022-03-31,,"{'1. open': '1.11563', '2. high': '1.11849', '3. low': '1.10590', '4. close': '1.10660'}"
2022-03-30,,"{'1. open': '1.10860', '2. high': '1.11711', '3. low': '1.10842', '4. close': '1.11570'}"
2022-03-29,,"{'1. open': '1.09843', '2. high': '1.11372', '3. low': '1.09680', '4. close': '1.10861'}"
